,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49143.91475272179
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.506477117538452
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.13281226158
5,2019-03-29,SELL,NVDA,25169,4.400113582611084,162996.59157299995
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.888850450515747
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.44170689583
8,2019-04-30,SELL,NVDA,18473,4.451748371124268,227104.58936667442
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.109393835067749
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.8005721569
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.12093901634
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.351171255111694
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.47098326683
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.41647887229919434
15,2019-07-31,SELL,NVDA,955,4.360401630401611,4164.600035905838
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.878567934036255
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.00737786293
18,2019-08-30,BUY,NVDA,377,4.154504776000977,27242.759077310562
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.769901514053345
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8771.985205411911
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.8790977001190186
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.499272108078
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.649113416672
24,2019-10-31,BUY,NVDA,3061,5.050086975097656,269.332882642746
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32404.46352648735
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28613.303614377975
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,186.68457293510437
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1156.6145656108856
29,2019-12-31,SELL,NVDA,11901,5.78375244140625,69989.05237078667
30,2019-12-31,BUY,CSCO,1730,40.447731018066406,14.477709531784058
