,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104730606079,10137.269721746445
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.61345648765564
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49143.98705983162
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.578784227371216
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.205119371414
5,2019-03-29,SELL,NVDA,25169,4.400115013122559,162996.6998846531
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.997162103652954
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.55001854897
8,2019-04-30,SELL,NVDA,18473,4.451749324798584,227104.7152955532
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.235322713851929
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.9265010357
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.24686789513
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.477100133895874
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.596912145615
14,2019-06-28,BUY,NVDA,12893,4.056703090667725,0.5239641666412354
15,2019-07-31,SELL,NVDA,955,4.3604021072387695,4164.707976579666
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.98650860786438
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.11531853676
18,2019-08-30,BUY,NVDA,378,4.154504776000977,27238.71251320839
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.723337411880493
20,2019-09-30,SELL,NVDA,2049,4.272922039031982,8767.940595388412
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.8344876766204834
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.45466208458
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.604503393173
24,2019-10-31,BUY,NVDA,3060,5.050086975097656,270.3383595943451
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.555003881454
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.39509177208
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,209.77355551719666
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.703548192978
29,2019-12-31,SELL,NVDA,11902,5.783753395080566,70017.93645644188
30,2019-12-31,BUY,CSCO,1731,40.44773483276367,2.907460927963257
